City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,Chumikan,54.7183,135.315,5.86,91,33,5.14,RU,2021-04-04 15:24:46
116,Mataura,-46.1927,168.8643,57.99,69,19,4.0,NZ,2021-04-04 15:27:01
117,Lazaro Cardenas,17.9583,-102.2,80.19,62,5,0.56,MX,2021-04-04 15:27:02
118,Dzaoudzi,-12.7887,45.2699,86.0,70,20,9.22,YT,2021-04-04 15:27:02
119,Lagoa,39.05,-27.9833,60.01,81,100,16.89,PT,2021-04-04 15:27:02
120,Peterhead,57.5058,-1.7981,51.8,58,75,23.02,GB,2021-04-04 15:27:03
121,Kieta,-6.2167,155.6333,78.28,84,100,3.8,PG,2021-04-04 15:27:03
122,Vardo,70.3705,31.1107,37.4,75,75,12.66,NO,2021-04-04 15:27:04
123,Sao Joao Da Barra,-21.6403,-41.0511,84.2,54,75,11.5,BR,2021-04-04 15:27:04
124,Ixtapa,20.7,-105.2,73.4,68,1,6.91,MX,2021-04-04 15:27:04
125,Chuy,-33.6971,-53.4616,75.69,63,13,8.86,UY,2021-04-04 15:27:05
126,Bengkulu,-3.8004,102.2655,78.04,84,100,10.04,ID,2021-04-04 15:27:05
127,Saint George,37.1041,-113.5841,55.4,26,1,3.04,US,2021-04-04 15:27:06
128,Dawlatabad,36.4141,64.9053,53.74,72,100,8.39,AF,2021-04-04 15:27:06
129,Carnarvon,-24.8667,113.6333,78.8,73,56,14.97,AU,2021-04-04 15:27:06
130,College,64.8569,-147.8028,33.8,86,90,5.75,US,2021-04-04 15:27:07
131,Okahandja,-21.9833,16.9167,81.0,29,4,6.91,NA,2021-04-04 15:27:07
132,Havre-Saint-Pierre,50.2334,-63.5986,33.8,93,90,10.36,CA,2021-04-04 15:27:07
133,Yellowknife,62.456,-114.3525,10.0,66,75,5.75,CA,2021-04-04 15:27:08
134,Samarai,-10.6167,150.6667,82.15,76,99,1.52,PG,2021-04-04 15:27:08
135,Takoradi,4.8845,-1.7554,84.36,71,36,10.22,GH,2021-04-04 15:27:09
136,Hauterive,46.0901,3.4459,59.0,33,0,14.97,FR,2021-04-04 15:27:09
137,Tiksi,71.6872,128.8694,-21.1,100,71,4.74,RU,2021-04-04 15:27:09
138,Codrington,-38.2667,141.9667,57.81,68,79,6.82,AU,2021-04-04 15:27:10
139,Pekalongan,-6.8886,109.6753,80.33,81,99,3.87,ID,2021-04-04 15:27:10
140,Port Elizabeth,-33.918,25.5701,69.8,64,0,19.57,ZA,2021-04-04 15:25:29
141,Ambon,-3.6954,128.1814,80.6,83,40,8.05,ID,2021-04-04 15:27:10
142,La Ronge,55.1001,-105.2842,35.6,48,100,5.75,CA,2021-04-04 15:27:11
143,Koutiala,12.3917,-5.4642,102.31,4,51,4.0,ML,2021-04-04 15:26:37
144,Vila Franca Do Campo,37.7167,-25.4333,59.0,88,75,17.27,PT,2021-04-04 15:27:11
145,Chimoio,-19.1164,33.4833,78.01,69,40,9.22,MZ,2021-04-04 15:27:12
146,Glauchau,50.8167,12.5333,51.01,53,0,9.22,DE,2021-04-04 15:27:12
147,Kununurra,-15.7667,128.7333,71.6,88,100,2.3,AU,2021-04-04 15:27:12
148,Douala,4.0483,9.7043,91.4,66,20,4.61,CM,2021-04-04 15:27:13
149,Longyearbyen,78.2186,15.6401,26.6,68,75,32.21,SJ,2021-04-04 15:24:47
150,Bryan,30.6744,-96.37,61.0,82,90,6.91,US,2021-04-04 15:24:31
151,Saint-Philippe,-21.3585,55.7679,82.4,74,0,12.3,RE,2021-04-04 15:27:13
152,Nikolskoye,59.7035,30.7861,43.0,65,20,13.42,RU,2021-04-04 15:27:14
153,Thiruvananthapuram,8.4833,76.9167,86.0,66,20,8.05,IN,2021-04-04 15:27:14
154,Pevek,69.7008,170.3133,-14.57,97,95,7.99,RU,2021-04-04 15:24:39
155,Hithadhoo,-0.6,73.0833,83.71,75,59,17.31,MV,2021-04-04 15:27:15
156,Ribeira Grande,38.5167,-28.7,64.4,82,75,20.71,PT,2021-04-04 15:27:15
157,Boende,-0.2167,20.8667,82.06,70,100,3.6,CD,2021-04-04 15:27:15
158,Sao Mateus,-18.7161,-39.8589,84.63,55,100,7.72,BR,2021-04-04 15:24:05
159,Uruzgan,32.8333,66.0,62.33,38,68,7.4,AF,2021-04-04 15:27:16
160,Coffs Harbour,-30.3,153.1333,66.2,94,100,5.75,AU,2021-04-04 15:27:16
161,Hirara,24.8,125.2833,67.51,76,100,25.72,JP,2021-04-04 15:27:16
162,Laguna,38.421,-121.4238,48.99,87,1,2.53,US,2021-04-04 15:25:08
163,Victoria,22.2855,114.1577,75.0,87,94,1.99,HK,2021-04-04 15:27:17
164,Goderich,43.7501,-81.7165,41.0,81,11,5.75,CA,2021-04-04 15:27:17
165,Talnakh,69.4865,88.3972,7.43,74,99,10.85,RU,2021-04-04 15:27:18
166,Madaoua,14.073,5.96,99.18,6,2,3.76,NE,2021-04-04 15:27:18
167,Mareeba,-17.0,145.4333,77.0,83,90,6.91,AU,2021-04-04 15:27:19
168,Norman Wells,65.282,-126.8329,3.2,72,40,5.75,CA,2021-04-04 15:26:30
169,Bay Roberts,47.5999,-53.2648,46.0,91,98,4.0,CA,2021-04-04 15:27:19
170,Vila Velha,-20.3297,-40.2925,80.6,74,20,14.97,BR,2021-04-04 15:27:19
171,Abu Dhabi,24.4667,54.3667,77.0,57,0,10.36,AE,2021-04-04 15:25:47
172,Geraldton,-28.7667,114.6,73.4,83,75,13.8,AU,2021-04-04 15:25:28
173,Reitz,-27.8014,28.4273,73.24,33,0,11.45,ZA,2021-04-04 15:27:20
174,Kayerkan,69.3497,87.7602,7.29,81,100,9.1,RU,2021-04-04 15:27:20
175,Alugan,12.2188,125.4808,81.36,70,85,10.87,PH,2021-04-04 15:23:15
176,San Cristobal,7.7669,-72.225,80.6,94,40,6.91,VE,2021-04-04 15:27:21
177,Bukachacha,52.9833,116.9167,29.95,76,100,5.37,RU,2021-04-04 15:27:22
178,Dikson,73.5069,80.5464,4.68,85,100,7.85,RU,2021-04-04 15:27:22
179,Guaraniacu,-25.1008,-52.8781,75.2,60,0,17.27,BR,2021-04-04 15:27:22
180,Anadyr,64.75,177.4833,-13.0,77,20,4.47,RU,2021-04-04 15:27:23
181,Solnechnyy,50.7214,136.6319,26.78,56,2,2.8,RU,2021-04-04 15:27:23
182,Chicama,-7.8447,-79.1469,71.6,83,0,8.05,PE,2021-04-04 15:27:23
183,Shache,38.4167,77.2406,52.23,39,11,7.78,CN,2021-04-04 15:27:23
184,Aykhal,66.0,111.5,-18.27,100,99,5.84,RU,2021-04-04 15:27:24
185,Swan Hill,-35.3378,143.5544,69.76,36,0,5.99,AU,2021-04-04 15:25:20
186,San Quintin,30.4833,-115.95,60.3,80,2,11.32,MX,2021-04-04 15:27:24
187,Bilibino,68.0546,166.4372,-21.14,99,70,3.51,RU,2021-04-04 15:27:25
188,Trenggalek,-8.05,111.7167,75.69,96,100,3.94,ID,2021-04-04 15:27:25
189,Mubi,10.2676,13.2644,99.97,8,44,10.74,NG,2021-04-04 15:27:25
190,Ancud,-41.8697,-73.8203,64.0,62,0,3.44,CL,2021-04-04 15:27:26
191,Baykalsk,51.5058,104.1469,33.31,96,97,1.16,RU,2021-04-04 15:27:26
192,Leopold,-38.1833,144.4667,60.8,72,90,9.22,AU,2021-04-04 15:27:27
193,Buala,-8.145,159.5921,80.06,83,100,3.09,SB,2021-04-04 15:27:27
194,Lata,40.1629,-8.3327,75.0,43,0,8.7,PT,2021-04-04 15:27:27
195,Kimparana,12.8347,-4.9244,104.25,4,30,4.97,ML,2021-04-04 15:27:28
196,Tuktoyaktuk,69.4541,-133.0374,-22.0,76,20,10.36,CA,2021-04-04 15:27:28
197,Bethel,41.3712,-73.414,48.99,29,90,3.8,US,2021-04-04 15:27:28
198,Aitape,-3.1374,142.3475,78.76,85,100,3.11,PG,2021-04-04 15:23:11
199,Dogondoutchi,13.6393,4.0287,101.05,5,7,3.09,NE,2021-04-04 15:27:29
200,Wajir,1.7471,40.0573,89.6,58,75,2.3,KE,2021-04-04 15:27:29
201,Namatanai,-3.6667,152.4333,77.83,85,96,6.64,PG,2021-04-04 15:23:10
202,Abashiri,44.0213,144.2697,36.0,73,100,3.0,JP,2021-04-04 15:27:30
203,Villa Constitucion,-33.2278,-60.3297,84.0,53,5,5.99,AR,2021-04-04 15:27:30
204,Orchard Homes,46.8633,-114.0484,52.0,65,1,3.44,US,2021-04-04 15:27:30
205,Kabanjahe,3.1001,98.4908,82.4,89,40,4.61,ID,2021-04-04 15:27:31
206,Upernavik,72.7868,-56.1549,-13.52,72,0,11.32,GL,2021-04-04 15:27:31
207,Belaya Gora,68.5333,146.4167,-6.12,98,100,4.79,RU,2021-04-04 15:27:31
208,Okhotsk,59.3833,143.3,20.39,96,100,2.93,RU,2021-04-04 15:27:32
209,Vanavara,60.34,102.2797,3.42,98,48,3.65,RU,2021-04-04 15:27:33
210,Yarada,17.65,83.2667,82.13,79,67,5.99,IN,2021-04-04 15:27:33
211,Mayumba,-3.432,10.6554,81.79,77,100,7.52,GA,2021-04-04 15:27:33
212,Nobres,-14.7203,-56.3275,83.19,71,100,3.49,BR,2021-04-04 15:27:34
213,Homer,59.6425,-151.5483,39.2,81,90,14.97,US,2021-04-04 15:27:34
214,Erenhot,43.6475,111.9767,45.14,21,37,7.36,CN,2021-04-04 15:27:34
215,Beringovskiy,63.05,179.3167,-11.54,97,27,6.85,RU,2021-04-04 15:27:35
216,Ostrovnoy,68.0531,39.5131,32.31,86,100,22.48,RU,2021-04-04 15:27:35
217,Xining,36.6167,101.7667,39.9,61,100,2.89,CN,2021-04-04 15:27:06
218,Saskylakh,71.9167,114.0833,-25.89,100,20,3.0,RU,2021-04-04 15:27:36
219,Basco,20.4487,121.9702,77.85,81,72,24.67,PH,2021-04-04 15:27:36
220,Cidreira,-30.1811,-50.2056,74.86,69,3,14.5,BR,2021-04-04 15:27:36
221,Sept-Iles,50.2001,-66.3821,37.0,47,75,10.36,CA,2021-04-04 15:24:28
222,Truth Or Consequences,33.1284,-107.2528,64.4,29,1,4.61,US,2021-04-04 15:27:37
223,Butte,39.6499,-121.5677,50.0,76,1,3.44,US,2021-04-04 15:27:37
224,Araouane,18.9048,-3.5265,101.1,3,0,3.13,ML,2021-04-04 15:24:35
225,Mar Del Plata,-38.0023,-57.5575,75.99,73,40,11.5,AR,2021-04-04 15:27:38
226,Tahta,26.7693,31.5021,87.8,7,0,17.27,EG,2021-04-04 15:27:38
227,Batemans Bay,-35.7167,150.1833,68.0,90,11,4.0,AU,2021-04-04 15:27:17
228,Saint Anthony,45.0205,-93.218,63.0,29,1,11.5,US,2021-04-04 15:27:39
229,Iskateley,67.6803,53.1512,14.68,96,9,5.39,RU,2021-04-04 15:27:39
230,Cockburn Town,21.4612,-71.1419,74.88,75,97,26.57,TC,2021-04-04 15:27:39
231,Pangkalanbuun,-2.6833,111.6167,75.15,94,80,2.86,ID,2021-04-04 15:27:40
232,Misheronskiy,55.7193,39.7383,35.65,85,70,3.33,RU,2021-04-04 15:27:40
233,Slave Lake,55.2834,-114.769,33.8,100,90,4.61,CA,2021-04-04 15:27:40
234,Atar,20.5169,-13.0499,98.6,20,91,9.22,MR,2021-04-04 15:27:41
235,Sao Miguel Do Araguaia,-13.275,-50.1628,87.49,57,89,3.89,BR,2021-04-04 15:23:55
236,Hwange,-18.3693,26.5019,86.22,34,2,6.31,ZW,2021-04-04 15:27:42
237,Pathein,16.7833,94.7333,77.2,65,63,12.21,MM,2021-04-04 15:27:42
238,Staicele,57.8364,24.75,46.0,62,59,5.99,LV,2021-04-04 15:27:43
239,Leningradskiy,69.3833,178.4167,-3.3,97,100,6.87,RU,2021-04-04 15:27:43
240,Ngunguru,-35.6167,174.5,52.0,93,12,6.51,NZ,2021-04-04 15:27:44
241,Ust-Kuyga,70.0167,135.6,-12.57,97,100,5.35,RU,2021-04-04 15:27:44
242,Salinopolis,-0.6136,-47.3561,84.13,71,47,11.74,BR,2021-04-04 15:27:44
243,Bambanglipuro,-7.95,110.2833,75.85,93,100,4.83,ID,2021-04-04 15:27:06
244,Nicoya,10.1483,-85.452,86.0,45,0,25.32,CR,2021-04-04 15:24:36
245,Thompson,55.7435,-97.8558,23.0,58,20,4.61,CA,2021-04-04 15:26:33
246,Ginir,7.1333,40.7,69.67,53,81,4.88,ET,2021-04-04 15:27:45
247,Baherden,38.4362,57.4316,61.29,38,31,9.31,TM,2021-04-04 15:27:46
248,Tuatapere,-46.1333,167.6833,57.99,69,35,4.0,NZ,2021-04-04 15:27:46
249,Elat,29.5581,34.9482,82.4,15,0,16.11,IL,2021-04-04 15:27:46
250,Tessalit,20.1986,1.0114,96.82,4,0,4.21,ML,2021-04-04 15:27:47
251,Zaraza,9.3503,-65.3245,91.04,44,81,6.93,VE,2021-04-04 15:27:47
252,Corning,42.1428,-77.0547,53.6,43,1,5.75,US,2021-04-04 15:23:13
253,Iquitos,-3.7481,-73.2472,78.8,83,75,4.61,PE,2021-04-04 15:24:48
254,Mahebourg,-20.4081,57.7,80.6,78,20,8.05,MU,2021-04-04 15:24:12
255,Fort Nelson,58.8053,-122.7002,35.6,35,20,6.91,CA,2021-04-04 15:27:48
256,Lorengau,-2.0226,147.2712,80.83,80,100,8.48,PG,2021-04-04 15:25:46
257,Ikryanoye,46.0932,47.7308,55.0,47,0,11.18,RU,2021-04-04 15:27:49
258,Portland,45.5234,-122.6762,50.0,66,75,9.22,US,2021-04-04 15:25:49
259,Coihaique,-45.5752,-72.0662,57.2,62,75,6.91,CL,2021-04-04 15:27:49
260,Tutoia,-2.7619,-42.2744,87.8,70,75,16.11,BR,2021-04-04 15:27:50
261,Pacifica,37.6138,-122.4869,52.0,71,90,8.05,US,2021-04-04 15:27:50
262,Mananjary,-21.2167,48.3333,78.53,84,69,6.85,MG,2021-04-04 15:27:51
263,Moyale,3.5167,39.0584,76.3,63,80,10.96,KE,2021-04-04 15:27:51
264,Dingle,10.9995,122.6711,76.64,82,34,6.73,PH,2021-04-04 15:27:52
265,Pujehun,7.3581,-11.7208,87.28,59,88,8.59,SL,2021-04-04 15:27:52
266,Kiunga,-6.1219,141.2906,73.58,88,89,0.92,PG,2021-04-04 15:27:52
267,Cicevac,43.7188,21.4408,45.0,76,75,5.75,RS,2021-04-04 15:27:53
268,Sao Filipe,14.8961,-24.4956,77.74,61,12,1.39,CV,2021-04-04 15:24:45
269,Tjome,59.1109,10.3933,51.8,46,20,23.02,NO,2021-04-04 15:27:53
270,Port Hardy,50.6996,-127.4199,41.0,93,40,8.05,CA,2021-04-04 15:27:54
271,Sakhon Nakhon,17.1612,104.1472,84.0,64,86,11.61,TH,2021-04-04 15:27:54
272,Galle,6.0367,80.217,80.47,77,52,8.57,LK,2021-04-04 15:27:54
273,Gobabis,-22.45,18.9667,83.86,24,6,10.04,NA,2021-04-04 15:27:54
274,Qaqortoq,60.7167,-46.0333,39.2,93,90,3.44,GL,2021-04-04 15:27:55
275,Karratha,-20.7377,116.8463,84.79,48,3,5.82,AU,2021-04-04 15:27:55
276,Jalu,29.0331,21.5482,86.86,7,0,13.31,LY,2021-04-04 15:27:56
277,Lasa,46.6166,10.7002,66.2,36,0,9.22,IT,2021-04-04 15:27:56
278,Jiazi,22.8779,116.067,67.69,85,79,19.51,CN,2021-04-04 15:27:57
279,Bafoulabe,13.8065,-10.8321,107.24,5,24,1.07,ML,2021-04-04 15:27:57
280,Hofn,64.2539,-15.2082,18.88,54,58,25.1,IS,2021-04-04 15:27:57
281,Aanekoski,62.6946,25.818,48.0,49,0,9.22,FI,2021-04-04 15:27:58
282,Arlit,18.7369,7.3853,94.17,4,0,3.0,NE,2021-04-04 15:27:58
283,Luganville,-15.5333,167.1667,78.89,88,100,13.22,VU,2021-04-04 15:27:58
284,Ponta Do Sol,32.6667,-17.1,66.2,59,40,4.61,PT,2021-04-04 15:27:59
285,Xinan,26.72,119.8556,55.2,94,100,0.98,CN,2021-04-04 15:27:59
286,Grindavik,63.8424,-22.4338,21.2,58,75,26.46,IS,2021-04-04 15:27:59
287,Clyde River,70.4692,-68.5914,-13.0,84,1,4.61,CA,2021-04-04 15:28:00
288,Pisco,-13.7,-76.2167,75.0,83,92,4.61,PE,2021-04-04 15:28:00
289,Livingston,55.9029,-3.5226,48.2,71,75,21.85,GB,2021-04-04 15:26:17
290,La Paz,-16.5,-68.15,50.0,66,75,4.61,BO,2021-04-04 15:28:00
291,Honiara,-9.4333,159.95,78.28,88,67,3.24,SB,2021-04-04 15:28:01
292,Katsuura,35.1333,140.3,66.2,94,75,9.22,JP,2021-04-04 15:28:01
293,Les Escoumins,48.1111,-69.0236,32.0,55,75,8.05,CA,2021-04-04 15:28:02
294,Liwale,-9.7667,37.9333,74.46,91,57,4.61,TZ,2021-04-04 15:28:02
