City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
623,Naze,JP,75.2,broken clouds,28.3667,129.4833,
631,Axim,GH,78.87,few clouds,4.8699,-2.2405,
633,Mvomero,TZ,78.8,scattered clouds,-6.25,38.6667,
634,Omboue,GA,76.01,light rain,-1.5746,9.2618,
635,Manaure,CO,79.61,overcast clouds,11.7751,-72.4445,
641,Tabou,CI,78.39,broken clouds,4.423,-7.3528,
650,Jibuti,DJ,80.6,clear sky,11.5,42.5,
652,Vao,NC,76.12,broken clouds,-22.6667,167.4833,
654,Madimba,TZ,75.2,moderate rain,-10.4,40.3333,
658,Mahibadhoo,MV,82.78,few clouds,3.7833,72.9667,
659,Honolulu,US,78.8,light rain,21.3069,-157.8583,
661,Rantauprapat,ID,76.32,overcast clouds,2.1,99.8333,
667,Along,IN,77.09,broken clouds,28.1667,94.7667,
670,Kribi,CM,80.11,light rain,2.95,9.9167,
672,Christchurch,NZ,82.99,clear sky,-43.5333,172.6333,
674,Mae Ramat,TH,77.0,broken clouds,16.984,98.5166,
680,Neiafu,TO,84.2,scattered clouds,-18.65,-173.9833,
683,Harnai,PK,77.31,few clouds,30.1005,67.9374,
688,Camapua,BR,75.15,overcast clouds,-19.5314,-54.0439,
690,Waingapu,ID,75.42,moderate rain,-9.6567,120.2641,
695,Aracati,BR,77.02,broken clouds,-4.5617,-37.7697,
696,Natitingou,BJ,75.87,scattered clouds,10.3042,1.3796,
707,Salina Cruz,MX,75.76,clear sky,16.1667,-95.2,
712,Moerai,PF,79.66,few clouds,-22.4333,-151.3333,
713,Matara,LK,83.07,few clouds,5.9485,80.5353,
