City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Cayenne,GF,2021-04-04 02:31:20,4.9333,-52.3333,80.01,94,75,2.3,broken clouds
108,Raga,SS,2021-04-04 02:34:56,8.4596,25.678,72.48,23,14,3.78,few clouds
109,Bambous Virieux,MU,2021-04-04 02:34:56,-20.3428,57.7575,80.01,89,40,3.44,light rain
110,Rikitea,PF,2021-04-04 02:34:56,-23.1203,-134.9692,78.3,57,35,20.36,scattered clouds
111,Ancud,CL,2021-04-04 02:31:30,-41.8697,-73.8203,48.2,87,0,2.62,clear sky
112,Coahuayana,MX,2021-04-04 02:34:57,18.7333,-103.6833,72.32,71,9,1.81,clear sky
113,Mgandu,TZ,2021-04-04 02:34:57,-5.95,34.1333,58.46,98,82,5.59,broken clouds
114,Chapais,CA,2021-04-04 02:32:16,49.7834,-74.8492,32.0,32,90,3.44,overcast clouds
115,Tiksi,RU,2021-04-04 02:31:35,71.6872,128.8694,-9.81,98,100,7.76,overcast clouds
116,Klaksvik,FO,2021-04-04 02:34:58,62.2266,-6.589,44.6,87,75,28.77,broken clouds
117,Ahipara,NZ,2021-04-04 02:34:58,-35.1667,173.1667,68.23,62,0,8.1,clear sky
118,Ribeira Grande,PT,2021-04-04 02:30:45,38.5167,-28.7,62.44,82,100,32.57,overcast clouds
119,Divnomorskoye,RU,2021-04-04 02:34:58,44.5011,38.1353,48.47,95,73,11.9,broken clouds
120,Haines Junction,CA,2021-04-04 02:34:48,60.7522,-137.5108,32.0,47,76,10.36,broken clouds
121,Guerrero Negro,MX,2021-04-04 02:34:59,27.9769,-114.0611,60.26,84,0,13.91,clear sky
122,Port Hedland,AU,2021-04-04 02:34:59,-20.3167,118.5667,96.8,20,87,8.05,overcast clouds
123,Saint-Philippe,RE,2021-04-04 02:35:00,-21.3585,55.7679,77.0,69,0,6.91,light rain
124,Novovasylivka,UA,2021-04-04 02:35:00,46.8315,35.7536,41.94,75,100,3.58,overcast clouds
